,session_id,user_id,item_id,timeframe,eventdate
0,1,NA,4550,1336342632,2012-05-07
1,1,NA,7959,1336342737,2012-05-07
2,1,NA,84417,1336343995,2012-05-07
3,1,NA,104643,1336344907,2012-05-07
4,1,NA,68086,1336345760,2012-05-07
5,1,NA,17211,1336345830,2012-05-07
6,1,NA,102891,1336350774,2012-05-07
7,1,NA,6227,1336350852,2012-05-07
8,1,NA,16082,1336353777,2012-05-07
9,1,NA,63686,1336354570,2012-05-07
10,1,NA,6227,1336368471,2012-05-07
11,1,NA,2723,1336374449,2012-05-07
12,1,NA,7757,1336382500,2012-05-07
13,1,NA,15674,1336383222,2012-05-07
14,2,NA,6227,1336443477,2012-05-08
15,2,NA,16082,1336443925,2012-05-08
16,2,NA,73975,1336444506,2012-05-08
17,2,NA,3674,1336444769,2012-05-08
18,2,NA,85889,1336453665,2012-05-08
19,2,NA,85889,1336453698,2012-05-08
20,2,NA,102891,1336454577,2012-05-08
21,3,NA,4522,1335655287,2012-04-29
22,3,NA,64500,1335687287,2012-04-29
23,3,NA,20205,1335687524,2012-04-29
24,3,NA,75310,1335687860,2012-04-29
25,3,NA,13566,1335688579,2012-04-29
26,3,NA,3787,1335690339,2012-04-29
27,4,NA,110955,1336018596,2012-05-03
28,4,NA,15438,1336019275,2012-05-03
29,4,NA,32506,1336020982,2012-05-03
30,4,NA,3815,1336022796,2012-05-03
31,4,NA,133001,1336026116,2012-05-03
32,4,NA,8945,1336035303,2012-05-03
33,4,NA,26341,1336036709,2012-05-03
34,5,NA,68727,1336154156,2012-05-05
35,5,NA,7139,1336192759,2012-05-05
36,5,NA,3658,1336202240,2012-05-05
37,5,NA,657,1336204278,2012-05-05
38,5,NA,24941,1336220036,2012-05-05
39,6,NA,51147,1336278888,2012-05-06
40,6,NA,24941,1336284244,2012-05-06
41,6,NA,14330,1336297242,2012-05-06
42,6,NA,4015,1336302454,2012-05-06
43,6,NA,68727,1336318730,2012-05-06
44,7,NA,59045,1336667178,2012-05-11
45,7,NA,68727,1336671175,2012-05-11
46,7,NA,68727,1336701083,2012-05-11
47,7,NA,82070,1336712370,2012-05-11
48,7,NA,115705,1336712567,2012-05-11
49,7,NA,90791,1336712811,2012-05-11
50,7,NA,74473,1336712910,2012-05-11
51,7,NA,72490,1336713750,2012-05-11
52,7,NA,72490,1336722311,2012-05-11
53,7,NA,60019,1336722603,2012-05-11
54,7,NA,83750,1336722693,2012-05-11
55,7,NA,76594,1336722781,2012-05-11
56,7,NA,30762,1336723026,2012-05-11
57,7,NA,71270,1336723215,2012-05-11
58,7,NA,66720,1336723616,2012-05-11
59,7,NA,38479,1336723728,2012-05-11
60,7,NA,22362,1336723878,2012-05-11
61,7,NA,54931,1336723989,2012-05-11
62,7,NA,75310,1336731271,2012-05-11
63,7,NA,4522,1336750428,2012-05-11
64,8,NA,115507,1336959776,2012-05-14
65,8,NA,54635,1336961806,2012-05-14
66,8,NA,64693,1336967095,2012-05-14
67,8,NA,115507,1336985497,2012-05-14
68,8,NA,115507,1337008259,2012-05-14
69,9,NA,87536,1333995991,2012-04-10
70,9,NA,16708,1333998124,2012-04-10
71,9,NA,96040,1334002238,2012-04-10
72,9,NA,19089,1334046557,2012-04-10
73,9,NA,87536,1334047597,2012-04-10
74,9,NA,76069,1334060826,2012-04-10
75,9,NA,87536,1334060862,2012-04-10
76,10,NA,87536,1334202243,2012-04-12
77,10,NA,16708,1334202400,2012-04-12
78,10,NA,96040,1334202489,2012-04-12
79,10,NA,19089,1334202523,2012-04-12
80,10,NA,5460,1334226695,2012-04-12
81,10,NA,87536,1334236026,2012-04-12
82,11,NA,27585,1334371442,2012-04-14
83,11,NA,16708,1334371534,2012-04-14
84,11,NA,8185,1334384467,2012-04-14
85,11,NA,87536,1334385222,2012-04-14
86,11,NA,12819,1334393950,2012-04-14
87,11,NA,76069,1334408796,2012-04-14
88,11,NA,87536,1334408855,2012-04-14
89,12,NA,87536,1334700931,2012-04-18
90,12,NA,16708,1334706519,2012-04-18
91,12,NA,96040,1334706664,2012-04-18
92,12,NA,19089,1334721815,2012-04-18
93,12,NA,87536,1334746878,2012-04-18
94,12,NA,72613,1334747777,2012-04-18
95,13,NA,16708,1334882260,2012-04-20
96,13,NA,96040,1334883648,2012-04-20
97,13,NA,2531,1334913974,2012-04-20
98,13,NA,2531,1334926697,2012-04-20
99,13,NA,87536,1334926772,2012-04-20
100,14,NA,87536,1335052081,2012-04-22
101,14,NA,8185,1335066905,2012-04-22
102,14,NA,4085,1335090586,2012-04-22
103,14,NA,87536,1335094330,2012-04-22
104,14,NA,87536,1335094330,2012-04-22
105,15,NA,87536,1335218680,2012-04-24
106,15,NA,16708,1335223613,2012-04-24
107,15,NA,96040,1335223715,2012-04-24
108,15,NA,19089,1335257989,2012-04-24
109,15,NA,13993,1335258037,2012-04-24
110,16,NA,87536,1335466512,2012-04-27
111,16,NA,16708,1335466558,2012-04-27
112,16,NA,96040,1335470046,2012-04-27
113,16,NA,19089,1335505531,2012-04-27
114,16,NA,87536,1335514789,2012-04-27
115,16,NA,12819,1335534059,2012-04-27
116,17,NA,87536,1336086492,2012-05-04
117,17,NA,6048,1336093918,2012-05-04
118,17,NA,67597,1336098070,2012-05-04
119,17,NA,2609,1336098128,2012-05-04
120,17,NA,114826,1336099442,2012-05-04
121,17,NA,81506,1336099632,2012-05-04
122,17,NA,6582,1336108416,2012-05-04
123,17,NA,14385,1336117148,2012-05-04
124,18,NA,16708,1336437660,2012-05-08
125,18,NA,96040,1336437997,2012-05-08
126,18,NA,132091,1336451019,2012-05-08
127,18,NA,87536,1336453618,2012-05-08
128,18,NA,87536,1336470628,2012-05-08
129,19,NA,87536,1336672146,2012-05-11
130,19,NA,16708,1336678143,2012-05-11
131,19,NA,96040,1336680421,2012-05-11
132,19,NA,22581,1336709705,2012-05-11
133,19,NA,87536,1336741424,2012-05-11
134,20,NA,87536,1336777233,2012-05-12
135,20,NA,87536,1336788888,2012-05-12
136,20,NA,4085,1336822661,2012-05-12
137,20,NA,132091,1336822736,2012-05-12
138,20,NA,13993,1336823549,2012-05-12
139,20,NA,87536,1336834959,2012-05-12
140,21,NA,87536,1336860739,2012-05-13
141,21,NA,12819,1336875790,2012-05-13
142,21,NA,8185,1336875896,2012-05-13
143,21,NA,5973,1336877324,2012-05-13
144,21,NA,22581,1336900066,2012-05-13
145,21,NA,87536,1336904155,2012-05-13
146,22,NA,87536,1336942830,2012-05-14
147,22,NA,16708,1336946551,2012-05-14
148,22,NA,96040,1336947667,2012-05-14
149,22,NA,81506,1336965007,2012-05-14
150,22,NA,87536,1336978581,2012-05-14
151,23,NA,87536,1337021558,2012-05-15
152,23,NA,16708,1337021717,2012-05-15
153,23,NA,96040,1337026125,2012-05-15
154,23,NA,81506,1337038518,2012-05-15
155,23,NA,16708,1337039504,2012-05-15
156,23,NA,132091,1337053631,2012-05-15
157,23,NA,87536,1337057084,2012-05-15
158,24,NA,87536,1337104810,2012-05-16
159,24,NA,16708,1337107644,2012-05-16
160,24,NA,96040,1337112543,2012-05-16
161,24,NA,5460,1337141012,2012-05-16
162,24,NA,12819,1337167303,2012-05-16
163,25,NA,12819,1337394538,2012-05-19
164,25,NA,8185,1337394612,2012-05-19
165,25,NA,6048,1337396974,2012-05-19
166,25,NA,6904,1337399216,2012-05-19
167,25,NA,5162,1337401052,2012-05-19
168,25,NA,6904,1337406835,2012-05-19
169,25,NA,6048,1337407426,2012-05-19
170,25,NA,96040,1337411989,2012-05-19
171,25,NA,87536,1337412053,2012-05-19
172,26,NA,87536,1337884718,2012-05-25
173,26,NA,96040,1337890117,2012-05-25
174,26,NA,5460,1337917489,2012-05-25
175,26,NA,5973,1337922175,2012-05-25
176,26,NA,87536,1337937170,2012-05-25
177,27,NA,87536,1338071628,2012-05-27
178,27,NA,8185,1338083243,2012-05-27
179,27,NA,87536,1338083279,2012-05-27
180,27,NA,3868,1338105063,2012-05-27
181,27,NA,87536,1338108372,2012-05-27
182,27,NA,4085,1338127710,2012-05-27
183,27,NA,87536,1338127782,2012-05-27
184,28,NA,87536,1338516501,2012-06-01
185,28,NA,16708,1338516562,2012-06-01
186,28,NA,96040,1338516704,2012-06-01
187,28,NA,132091,1338521825,2012-06-01
188,28,NA,13993,1338522303,2012-06-01
189,29,NA,96040,1339099858,2012-06-08
190,29,NA,81506,1339112102,2012-06-08
191,29,NA,132091,1339125562,2012-06-08
192,29,NA,12819,1339127558,2012-06-08
193,29,NA,2609,1339158364,2012-06-08
194,30,NA,6172,1339979901,2012-06-18
195,30,NA,103000,1339980770,2012-06-18
196,30,NA,46004,1339980781,2012-06-18
197,30,NA,31090,1339989109,2012-06-18
198,30,NA,43226,1339993927,2012-06-18
199,31,NA,46004,1341194990,2012-07-02
200,31,NA,31090,1341199008,2012-07-02
201,31,NA,16394,1341210114,2012-07-02
202,31,NA,6565,1341217422,2012-07-02
203,31,NA,23962,1341225432,2012-07-02
204,32,NA,11299,1335226823,2012-04-24
205,32,NA,63101,1335230755,2012-04-24
206,32,NA,4801,1335230893,2012-04-24
207,32,NA,44783,1335243628,2012-04-24
208,32,NA,122329,1335253885,2012-04-24
209,33,NA,63101,1335316405,2012-04-25
210,33,NA,115718,1335318871,2012-04-25
211,33,NA,44783,1335324929,2012-04-25
212,33,NA,4801,1335344004,2012-04-25
213,33,NA,48483,1335345472,2012-04-25
214,34,NA,11299,1335483700,2012-04-27
215,34,NA,10666,1335490551,2012-04-27
216,34,NA,63101,1335491263,2012-04-27
217,34,NA,115718,1335497070,2012-04-27
218,34,NA,11299,1335523542,2012-04-27
219,35,NA,11299,1337039109,2012-05-15
220,35,NA,63101,1337049956,2012-05-15
221,35,NA,4801,1337050159,2012-05-15
222,35,NA,44783,1337064545,2012-05-15
223,35,NA,115718,1337077365,2012-05-15
224,36,NA,11299,1337738249,2012-05-23
225,36,NA,63101,1337744963,2012-05-23
226,36,NA,4801,1337745118,2012-05-23
227,36,NA,115718,1337755750,2012-05-23
228,36,NA,48483,1337762493,2012-05-23
229,37,NA,11299,1337900770,2012-05-25
230,37,NA,11299,1337908796,2012-05-25
231,37,NA,63101,1337914710,2012-05-25
232,37,NA,44783,1337930225,2012-05-25
233,37,NA,115718,1337930262,2012-05-25
234,37,NA,122329,1337934601,2012-05-25
235,37,NA,11299,1337944445,2012-05-25
236,38,NA,11299,1338941467,2012-06-06
237,38,NA,122793,1338941488,2012-06-06
238,38,NA,63101,1338954314,2012-06-06
239,38,NA,4801,1338954422,2012-06-06
240,38,NA,115718,1338964809,2012-06-06
241,38,NA,66249,1338974593,2012-06-06
242,38,NA,11299,1338982408,2012-06-06
243,39,NA,11299,1339022052,2012-06-07
244,39,NA,63101,1339037382,2012-06-07
245,39,NA,4801,1339049836,2012-06-07
246,39,NA,115718,1339058543,2012-06-07
247,39,NA,66249,1339060931,2012-06-07
248,40,NA,11299,1339375919,2012-06-11
249,40,NA,127530,1339384269,2012-06-11
250,40,NA,11299,1339384295,2012-06-11
251,40,NA,63101,1339387485,2012-06-11
252,40,NA,4801,1339387740,2012-06-11
253,41,NA,11299,1339451665,2012-06-12
254,41,NA,122793,1339463607,2012-06-12
255,41,NA,63101,1339472590,2012-06-12
256,41,NA,4801,1339481245,2012-06-12
257,41,NA,11299,1339510577,2012-06-12
258,42,NA,11299,1341456936,2012-07-05
259,42,NA,4522,1341458937,2012-07-05
260,42,NA,15891,1341458996,2012-07-05
261,42,NA,70656,1341482629,2012-07-05
262,42,NA,84655,1341493494,2012-07-05
263,43,NA,11299,1341939227,2012-07-11
264,43,NA,63101,1341985788,2012-07-11
265,43,NA,4801,1341985976,2012-07-11
266,43,NA,115718,1342008516,2012-07-11
267,43,NA,66249,1342008548,2012-07-11
268,43,NA,11299,1342019004,2012-07-11
269,44,NA,4522,1342044487,2012-07-12
270,44,NA,15891,1342045451,2012-07-12
271,44,NA,2609,1342050710,2012-07-12
272,44,NA,3187,1342070707,2012-07-12
273,44,NA,124422,1342080999,2012-07-12
